Village_Code,District,Village_Name,main_occupation,employment_rate,average_income_per_household,poverty_rate,access_to_credit
1,Chittoor,Charlespalli,Service,82.38,46178,55.05,Yes - Bank
2,East Godavari,Nicolepalli,Service,61.85,35546,10.18,Yes - Microfinance
3,Vizianagaram,Scottpalli,Agriculture,68.5,4200,37.73,Yes - Microfinance
4,Krishna,Tinapalli,Business,89.99,17491,57.51,Yes - Bank
5,YSR Kadapa,Tiffanypalli,Agriculture,41.52,14381,42.28,Yes - Microfinance
6,Visakhapatnam,Triciapalli,Service,78.33,31414,20.6,Yes - Microfinance
7,Kurnool,Adampalli,Labor,68.82,6183,42.9,Yes - Bank
8,Visakhapatnam,Alexandrapalli,Mixed,53.7,46478,29.52,Yes - Bank
9,Prakasam,Amandapalli,Service,47.24,34573,11.34,No
10,Kurnool,Jamespalli,Labor,51.36,22709,30.35,Yes - Bank
11,Kurnool,Janepalli,Labor,81.7,10719,12.7,Yes - Bank
12,West Godavari,Robertpalli,Mixed,59.51,27735,23.38,Yes - Microfinance
13,Prakasam,Kimberlypalli,Business,90.75,12159,28.38,No
14,Kurnool,Jessicapalli,Labor,63.62,30489,49.98,No
15,Prakasam,Sarahpalli,Mixed,48.84,42765,53.46,Yes - Microfinance
16,East Godavari,Alexanderpalli,Agriculture,85.36,39626,50.0,Yes - Bank
17,Nellore,Alyssapalli,Business,45.83,31035,9.05,Yes - Bank
18,Krishna,Dustinpalli,Agriculture,77.25,33509,15.38,Yes - Bank
19,Anantapur,Michellepalli,Mixed,86.04,24620,49.03,Yes - Microfinance
20,YSR Kadapa,Karenpalli,Service,62.85,5816,31.41,Yes - Bank
21,Srikakulam,Patrickpalli,Business,62.69,25781,25.74,Yes - Bank
22,Prakasam,Manuelpalli,Mixed,51.61,42391,59.02,No
23,Prakasam,Katiepalli,Mixed,50.92,14234,53.74,Yes - Microfinance
24,Nellore,Shannonpalli,Agriculture,88.22,34706,39.69,No
25,Guntur,Kevinpalli,Agriculture,75.66,40631,56.13,Yes - Bank
26,Visakhapatnam,Kerrypalli,Business,55.95,3347,59.1,No
27,West Godavari,Courtneypalli,Labor,80.97,30309,23.67,No
28,Guntur,Timothypalli,Service,88.11,10364,15.05,Yes - Microfinance
29,Anantapur,Jonathanpalli,Labor,88.7,19843,51.72,No
30,Chittoor,Kimberlypalli,Business,73.97,15065,23.74,No
31,Vizianagaram,Rebeccapalli,Agriculture,64.42,42340,21.2,No
32,Anantapur,Kylepalli,Service,50.44,23730,37.47,No
33,Nellore,Michellepalli,Labor,64.42,49493,10.33,No
34,Prakasam,Melindapalli,Agriculture,86.73,47152,54.46,Yes - Bank
35,Visakhapatnam,Johnpalli,Service,89.14,45069,45.89,No
36,Nellore,Kelseypalli,Business,78.82,20882,29.52,No
37,Visakhapatnam,Dalepalli,Service,61.16,23775,10.28,Yes - Microfinance
38,West Godavari,Kimberlypalli,Labor,74.06,43640,44.42,Yes - Bank
39,Srikakulam,Josephpalli,Business,91.75,6445,34.25,No
40,East Godavari,Kimberlypalli,Labor,79.15,37916,51.39,No
41,Krishna,Billypalli,Service,52.97,3749,45.3,No
42,Krishna,Pamelapalli,Labor,66.54,45190,59.16,No
43,Chittoor,Randypalli,Agriculture,73.69,25738,26.83,No
44,Nellore,Zacharypalli,Business,62.56,17121,8.39,Yes - Microfinance
45,Chittoor,Susanpalli,Mixed,54.52,48394,31.9,Yes - Microfinance
46,East Godavari,Amandapalli,Labor,44.23,25348,27.3,No
47,YSR Kadapa,Wesleypalli,Labor,47.96,9168,55.09,No
48,Nellore,Danielpalli,Business,76.17,21425,6.84,No
49,Visakhapatnam,Jenniferpalli,Labor,89.21,40935,51.84,No
50,Nellore,Paigepalli,Business,70.04,7972,17.77,Yes - Bank
51,Srikakulam,Jocelynpalli,Agriculture,60.92,28366,16.78,No
52,Srikakulam,Codypalli,Mixed,46.95,43499,7.79,No
53,Kurnool,Robertpalli,Agriculture,45.67,26517,9.6,Yes - Bank
54,Krishna,Amberpalli,Mixed,94.33,31006,15.05,Yes - Bank
55,Krishna,Dianepalli,Agriculture,88.81,36593,43.02,Yes - Microfinance
56,Vizianagaram,Josephpalli,Service,51.38,40217,44.89,Yes - Bank
57,Chittoor,Victorpalli,Mixed,71.37,40087,58.02,Yes - Microfinance
58,Vizianagaram,Timothypalli,Agriculture,67.92,13057,51.53,Yes - Bank
59,Kurnool,Glennpalli,Agriculture,63.34,46164,57.38,No
60,Visakhapatnam,Shannonpalli,Business,66.74,29360,59.49,Yes - Bank
61,Kurnool,Katiepalli,Business,83.67,4730,7.13,No
62,Vizianagaram,Debbiepalli,Agriculture,83.28,40171,48.36,No
63,Srikakulam,Toddpalli,Mixed,76.59,38595,58.93,No
64,Anantapur,Bettypalli,Service,84.44,34082,26.39,No
65,West Godavari,Jasonpalli,Service,40.92,23229,51.83,Yes - Microfinance
66,Vizianagaram,Toddpalli,Service,89.4,21583,8.9,No
67,Nellore,Nicolepalli,Service,61.81,31231,6.92,No
68,YSR Kadapa,Davidpalli,Business,58.96,21937,15.64,Yes - Bank
69,East Godavari,Timothypalli,Mixed,65.52,17932,31.74,Yes - Bank
70,West Godavari,Nicolepalli,Mixed,87.54,40913,15.7,Yes - Bank
71,Krishna,Anthonypalli,Agriculture,71.33,20275,42.67,Yes - Bank
72,Prakasam,Glendapalli,Business,86.3,17623,47.26,No
73,East Godavari,Justinpalli,Business,73.43,33333,59.75,No
74,Vizianagaram,Haroldpalli,Service,90.82,14322,49.03,Yes - Microfinance
75,Visakhapatnam,Emilypalli,Mixed,54.31,23795,54.83,Yes - Microfinance
76,Prakasam,Sarahpalli,Agriculture,45.36,37295,30.98,No
77,Guntur,Tracipalli,Service,73.82,24507,53.95,Yes - Bank
78,Kurnool,Nicholaspalli,Service,50.77,29285,15.45,No
79,Anantapur,Jonathanpalli,Mixed,62.51,7707,9.95,No
80,Kurnool,Samanthapalli,Mixed,45.38,11175,16.76,Yes - Bank
81,Krishna,Patriciapalli,Service,72.59,35299,35.83,Yes - Microfinance
82,Chittoor,Jacobpalli,Business,50.47,17910,18.84,Yes - Microfinance
83,Nellore,Tinapalli,Labor,58.91,14851,51.91,No
84,Kurnool,Joshuapalli,Mixed,42.13,13940,16.87,Yes - Microfinance
85,Nellore,Adampalli,Business,56.13,22072,37.95,Yes - Bank
86,Prakasam,Pamelapalli,Service,51.61,21417,53.89,Yes - Microfinance
87,Chittoor,Kevinpalli,Service,52.76,26602,7.26,No
88,Vizianagaram,Cherylpalli,Agriculture,66.1,33893,38.1,Yes - Microfinance
89,Chittoor,Karenpalli,Service,67.71,30878,19.67,Yes - Microfinance
90,Krishna,Frankpalli,Agriculture,64.9,12010,48.96,Yes - Bank
91,Anantapur,Matthewpalli,Service,72.11,44288,10.85,Yes - Bank
92,West Godavari,Carolpalli,Labor,41.52,39405,48.62,Yes - Microfinance
93,West Godavari,Markpalli,Business,67.02,12834,50.53,Yes - Microfinance
94,West Godavari,Derekpalli,Mixed,90.17,20217,5.05,No
95,YSR Kadapa,Josephpalli,Labor,91.22,7079,43.57,Yes - Microfinance
96,Kurnool,Anthonypalli,Agriculture,88.2,43865,50.91,Yes - Bank
97,YSR Kadapa,Stephaniepalli,Labor,76.48,16398,52.58,Yes - Microfinance
