Village_Code,District,Village_Name,Electricity_Access_Percent,Street_Lighting_Percent,Average_Hours_Power_Supply,Transformer_Count,Solar_Power_Implemented,Electricity_Metering_Percent,Power_Outage_Frequency,Recent_Upgrades,Last_Updated,Data_Source,Verified_By
1,Chittoor,Charlespalli,87,59,19.681985292966754,10,Partial,98,Moderate,Yes,2025-08-11,State Electricity Board,Gram Panchayat Officer
2,East Godavari,Nicolepalli,75,60,18.845479649446542,8,No,96,High,Yes,2025-08-10,State Electricity Board,District Engineer
3,Vizianagaram,Scottpalli,95,95,23.28984868507251,5,Partial,91,Moderate,Yes,2025-08-21,State Electricity Board,Independent Auditor
4,Krishna,Tinapalli,81,93,19.76189086017825,8,Yes,90,Moderate,Yes,2025-08-24,State Electricity Board,Independent Auditor
5,YSR Kadapa,Tiffanypalli,74,58,23.06738452030615,6,No,80,High,Yes,2025-07-25,State Electricity Board,Independent Auditor
6,Visakhapatnam,Triciapalli,71,54,21.792709591953386,4,Partial,90,Moderate,No,2025-07-25,State Electricity Board,District Engineer
7,Kurnool,Adampalli,84,60,19.267632715133466,3,No,95,Low,Yes,2025-07-26,State Electricity Board,Independent Auditor
8,Visakhapatnam,Alexandrapalli,89,70,23.324544968655086,5,Yes,81,Low,No,2025-08-08,State Electricity Board,Independent Auditor
9,Prakasam,Amandapalli,100,83,19.096609316509266,5,Partial,94,Low,Yes,2025-08-20,State Electricity Board,Gram Panchayat Officer
10,Kurnool,Jamespalli,72,74,23.64958508017482,9,No,80,Moderate,Yes,2025-08-23,State Electricity Board,Gram Panchayat Officer
11,Kurnool,Janepalli,100,85,21.848882527560665,1,Yes,83,High,No,2025-08-24,State Electricity Board,Independent Auditor
12,West Godavari,Robertpalli,75,79,23.315451479282782,2,Partial,82,Moderate,Yes,2025-08-11,State Electricity Board,District Engineer
13,Prakasam,Kimberlypalli,93,52,22.463209049227565,4,No,81,High,Yes,2025-08-18,State Electricity Board,District Engineer
14,Kurnool,Jessicapalli,71,79,18.425281039312274,7,Partial,90,High,Yes,2025-08-24,State Electricity Board,Gram Panchayat Officer
15,Prakasam,Sarahpalli,78,94,22.979862614928525,2,Partial,98,Moderate,No,2025-08-02,State Electricity Board,Gram Panchayat Officer
16,East Godavari,Alexanderpalli,77,91,18.845095476394093,10,Partial,94,Moderate,Yes,2025-07-28,State Electricity Board,Gram Panchayat Officer
17,Nellore,Alyssapalli,81,58,21.57106761293519,5,No,83,Moderate,Yes,2025-07-25,State Electricity Board,Independent Auditor
18,Krishna,Dustinpalli,95,96,21.088022407547925,3,No,86,Moderate,Yes,2025-08-18,State Electricity Board,Independent Auditor
19,Anantapur,Michellepalli,94,54,18.213130038581056,6,Yes,84,Moderate,No,2025-08-17,State Electricity Board,Independent Auditor
20,YSR Kadapa,Karenpalli,75,54,20.809632400828683,5,Yes,91,Moderate,No,2025-08-08,State Electricity Board,District Engineer
21,Srikakulam,Patrickpalli,80,59,20.524061167088433,1,No,88,High,No,2025-08-23,State Electricity Board,Independent Auditor
22,Prakasam,Manuelpalli,83,78,19.162536826206118,9,Yes,88,Moderate,Yes,2025-08-07,State Electricity Board,Gram Panchayat Officer
23,Prakasam,Katiepalli,100,61,19.907516947397674,4,No,100,Moderate,No,2025-07-26,State Electricity Board,District Engineer
24,Nellore,Shannonpalli,87,53,19.985089942842386,1,No,94,Moderate,Yes,2025-08-12,State Electricity Board,Gram Panchayat Officer
25,Guntur,Kevinpalli,84,89,20.013381258507337,2,No,92,Low,Yes,2025-08-06,State Electricity Board,District Engineer
